"aeat        ","t           ","p           ","ivac        ","isp         ","mach        ","cf          "
   0.00000E+00,   3.38232E+03,   6.89473E+01,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.00000E+00,   3.20367E+03,   3.98136E+01,   2.10578E+03,   1.11955E+03,   9.99999E-01,   6.55502E-01
   1.00726E+01,   1.62768E+03,   1.01325E+00,   3.04978E+03,   2.79697E+03,   3.09239E+00,   1.63764E+00
   5.00000E+00,   1.86852E+03,   2.06816E+00,   2.85267E+03,   2.53926E+03,   2.66422E+00,   1.48675E+00
   1.00000E+01,   1.54962E+03,   7.89809E-01,   3.04795E+03,   2.79460E+03,   3.08810E+00,   1.63626E+00
   2.50000E+01,   1.20229E+03,   2.27819E-01,   3.25198E+03,   3.05731E+03,   3.63185E+00,   1.79008E+00
   5.00000E+01,   9.83295E+02,   8.95904E-02,   3.37419E+03,   3.21519E+03,   4.07530E+00,   1.88252E+00
   7.50000E+01,   8.70191E+02,   5.18964E-02,   3.43494E+03,   3.29397E+03,   4.35950E+00,   1.92864E+00
   1.00000E+02,   7.96164E+02,   3.52083E-02,   3.47380E+03,   3.34442E+03,   4.57288E+00,   1.95818E+00
   1.50000E+02,   7.00161E+02,   2.03537E-02,   3.52322E+03,   3.40858E+03,   4.88794E+00,   1.99575E+00
   2.00000E+02,   6.37715E+02,   1.37827E-02,   3.55482E+03,   3.44964E+03,   5.12136E+00,   2.01979E+00
